global_step,tp,tn,fp,fn,mcc,train_loss,eval_loss
3489,164,2785,57,164,0.5739918583057112,0.7735072374343872,0.17703330169548573
6553,223,2763,79,105,0.6764836044341853,0.00810440257191658,0.18341057576399364
6978,232,2758,84,96,0.6890561893254442,0.00040308586903847754,0.19212274387286318
10467,201,2783,59,127,0.657158905745272,0.0028717333916574717,0.2695121926811246
13106,221,2768,74,107,0.6790807351904881,0.0001809423411032185,0.19615656727401806
13956,246,2723,119,82,0.67569064960014,0.007096992805600166,0.21914715549751843
17445,203,2782,60,125,0.6600815758852643,0.002642834559082985,0.27271096113144716
19659,222,2763,79,106,0.6743207255243484,0.015111013315618038,0.21997778626226902
20934,221,2769,73,107,0.6804858341255288,6.316386861726642e-05,0.33010367511108757
24423,223,2773,69,105,0.690479305655645,0.0005304943188093603,0.2986315425226737
26212,233,2759,83,95,0.6925135109125515,0.00011610029469011351,0.27861167717137575
27912,244,2752,90,84,0.7065545204950041,0.0013869981048628688,0.3560350940376524
31401,225,2775,67,103,0.6976424463054154,0.36410680413246155,0.34406876447408496
32765,209,2792,50,119,0.6889547506654223,1.3320990800857544,0.3340170603794474
34890,244,2745,97,84,0.6977082847758334,0.005693483166396618,0.4266143951152905
38379,187,2801,41,141,0.6550841230917913,0.0025608823634684086,0.4368266810161553
39318,213,2782,60,115,0.6820959684736856,0.000206375218112953,0.3521641752345559
41868,210,2778,64,118,0.6695287953838885,0.0005741427885368466,0.42112078301368006
45357,192,2797,45,136,0.6595334613508808,0.000851954857353121,0.36593147599926
45871,218,2775,67,110,0.6825771670173979,1.1324817933200393e-05,0.4302026889714004
48846,229,2758,84,99,0.6826485759136287,6.88369691488333e-05,0.4597932151879284
52335,197,2791,51,131,0.6608481531955094,1.7553402358316816e-05,0.47840390931495874
52424,211,2784,58,117,0.6807795349875715,2.280838270962704e-05,0.4716065311976462
55824,233,2755,87,95,0.6872315059377319,5.182047971175052e-05,0.5315018556478973
58977,215,2778,64,113,0.6804635649902641,1.0251940693706274e-05,0.5284125844253321
59313,229,2763,79,99,0.6893750526104233,0.00031281152041628957,0.4707377347364261
62802,200,2788,54,128,0.6627443532505719,2.910083821916487e-05,0.47273434110380547
65530,217,2777,65,111,0.6833329245469424,6.834643045294797e-06,0.5195743434130422
66291,228,2768,74,100,0.6941231447354449,3.3510888897581026e-05,0.5131442710273304
69780,216,2778,64,112,0.6826371265835508,0.0001875195448519662,0.5326760684532246
72083,214,2776,66,114,0.6753373030399337,6.1193914007162675e-06,0.5467149577426501
73269,227,2770,72,101,0.694788404607682,1.8060003640130162e-05,0.5353254143306874
76758,220,2777,65,108,0.6898189409035559,6.005149316479219e-06,0.5506304146398037
78636,219,2776,66,109,0.686198053960477,1.1285053915344179e-05,0.5521706203247528
