global_step,tp,tn,fp,fn,mcc,train_loss,eval_loss
3489,219,2633,209,109,0.5295225446387142,0.1538156270980835,0.19410263393566912
6553,229,2721,121,99,0.6371270859973279,0.24953202903270721,0.15766815915687646
6978,240,2726,116,88,0.6664559390565423,0.8266438841819763,0.18460907323659229
10467,196,2793,49,132,0.6618662215718611,0.013413075357675552,0.18469061977502724
13106,206,2788,54,122,0.6760321751577683,0.8404403328895569,0.1940665214398896
13956,207,2772,70,121,0.6540968314315655,0.23970632255077362,0.30010004215015323
17445,162,2801,41,166,0.5964980399063403,0.17679819464683533,0.24688000288979334
19659,201,2787,55,127,0.6633916892597529,0.0007011431152932346,0.24331641834758086
20934,234,2731,111,94,0.659508598335634,0.7825133800506592,0.3047920587083418
24423,201,2773,69,127,0.642146145347452,0.005324766039848328,0.2714550667393264
26212,229,2736,106,99,0.654738784970432,0.00012822123244404793,0.2921906331962682
27912,222,2731,111,106,0.6335236087227374,0.0005614515976049006,0.3788656640998043
31401,231,2736,106,97,0.6590485690262688,0.0016549507854506373,0.341295525230582
32765,210,2761,81,118,0.6452834573025794,8.193312532966956e-05,0.38234540967169417
34890,229,2731,111,99,0.6487489091813213,0.01342487521469593,0.39006149574942484
38379,179,2792,50,149,0.6213431324456649,1.4847426414489746,0.44520313955755625
39318,202,2784,58,126,0.6609335596277712,6.73509348416701e-05,0.4015196265106401
41868,225,2747,95,103,0.6597270618588541,0.0003510093374643475,0.39545150988837013
45357,192,2777,65,136,0.627668798228562,4.318246283219196e-05,0.3839597104501727
45871,187,2781,61,141,0.6222786222474813,4.4424337829696015e-05,0.5059237309676066
48846,212,2746,96,116,0.6299254368519321,4.908313349005766e-05,0.4181454388944481
52335,198,2778,64,130,0.6428079971382595,0.0004120934463571757,0.44405228822643156
52424,164,2802,40,164,0.6031396874128993,0.03733475133776665,0.5387678912656493
55824,229,2738,104,99,0.6571695473981599,0.000351682334439829,0.4856344752815789
58977,209,2764,78,119,0.6471981342681854,0.0003578093310352415,0.5167626854350093
59313,226,2728,114,102,0.6387074024898378,0.003658207831904292,0.5088708009445662
62802,201,2774,68,127,0.6436122960898314,5.557554686674848e-05,0.5208821945710521
65530,193,2770,72,135,0.6196170145077081,5.288664760882966e-05,0.6000280901586003
66291,219,2740,102,109,0.6378592051743966,8.452957263216376e-05,0.5038179325105792
69780,186,2785,57,142,0.6262318943089222,2.6568024622974917e-05,0.5749959440322034
72083,189,2784,58,139,0.6315583545903501,5.010534368921071e-05,0.5732813095096883
73269,221,2742,100,107,0.64472580215815,0.0002931550261564553,0.5354306310470727
76758,203,2769,73,125,0.6408527198227639,2.8415706765372306e-05,0.5708087808423223
78636,204,2772,70,124,0.6474137928341662,7.327013736357912e-05,0.5621733244854058
