global_step,tp,tn,fp,fn,mcc,train_loss,eval_loss
3489,165,2767,75,163,0.5488039733057718,0.18243451416492462,0.19966103153341974
6553,210,2744,98,118,0.6229313644097567,0.028610581532120705,0.1658523138693149
6978,185,2785,57,143,0.6239203702033796,0.3528159260749817,0.23572665241565843
10467,219,2769,73,109,0.6761530243561041,0.5998716950416565,0.18506479688091465
13106,195,2797,45,133,0.6662645495922681,0.002145329723134637,0.20801545475314603
13956,240,2740,102,88,0.6831110332676792,1.1460460424423218,0.31647120037362836
17445,224,2757,85,104,0.6705576962322776,0.0030413814820349216,0.26809947853527466
19659,231,2763,79,97,0.6936402038878151,0.3865030109882355,0.20293010303179407
20934,251,2724,118,77,0.6873091152967901,0.027681909501552582,0.2642610103804862
24423,221,2758,84,107,0.6653857816327681,0.0014911927282810211,0.29476787451157377
26212,190,2797,45,138,0.6550196260852192,0.004508251324295998,0.3234329202878006
27912,217,2773,69,111,0.6775116863325296,0.0036198506131768227,0.37933574462617486
31401,212,2761,81,116,0.6497129542923804,0.7655251622200012,0.325691457075439
32765,190,2792,50,138,0.646687786877852,0.00047402872587554157,0.4121375399199701
34890,221,2762,80,107,0.6707875779175039,0.5975455045700073,0.41145431987321396
38379,195,2786,56,133,0.6483621805494576,0.00032217823900282383,0.39569613826236166
39318,199,2775,67,129,0.6405853234144561,2.3303465843200684,0.39734840147886796
41868,229,2749,93,99,0.6709106655735554,1.0112910270690918,0.49265762193847074
45357,215,2777,65,113,0.6789872148117422,0.000531149678863585,0.4678497233343288
45871,202,2787,55,126,0.6656154532944071,0.00020117132226005197,0.42584123411385005
48846,235,2754,88,93,0.6901777949213324,0.0013031002599745989,0.4915594221109461
52335,208,2785,57,120,0.6757483735350119,2.0578252588165924e-05,0.4406099015505864
52424,191,2797,45,137,0.657279218714254,1.9510376660036854e-05,0.4751711457956134
55824,220,2759,83,108,0.6645515639043086,4.6905810449970886e-05,0.5421666467111382
58977,217,2765,77,111,0.6662034013424366,6.810456397943199e-05,0.4971920409998851
59313,221,2762,80,107,0.6707875779175039,0.0007071904256008565,0.5307329873882922
62802,185,2798,44,143,0.6453478334298185,7.361146344919689e-06,0.5775191266562083
65530,208,2773,69,120,0.6577645516741797,1.355000858893618e-05,0.5693401524825114
66291,220,2763,79,108,0.6699824380898266,3.661138180177659e-05,0.5682585803863408
69780,205,2784,58,123,0.6675915754027352,1.3872834642825183e-05,0.5618154907462772
72083,206,2785,57,122,0.6713465751614707,7.986990567587782e-06,0.5620985219059866
73269,224,2766,76,104,0.6827689242713927,2.3290076569537632e-05,0.568662784568234
76758,213,2778,64,115,0.6761031528872508,8.553221960028168e-06,0.5766784917031769
78636,210,2780,62,118,0.6725191524118601,6.993587248871336e-06,0.572828300138865
