global_step,tp,tn,fp,fn,mcc,train_loss,eval_loss
3489,169,2768,74,159,0.5600491567907667,0.24534577131271362,0.19138589868866263
6553,263,2650,192,65,0.6378445425510247,0.07323240488767624,0.19387609491343796
6978,163,2810,32,165,0.6156710172316393,0.4464006721973419,0.20458020514570194
10467,220,2781,61,108,0.6957384295904971,0.3138887882232666,0.16068939308378427
13106,200,2784,58,128,0.6564704563724011,0.0033725297544151545,0.20579032122007376
13956,197,2792,50,131,0.6624710878351789,0.4092063307762146,0.2394684983414606
17445,219,2753,89,109,0.6544046903995462,0.004970844369381666,0.25957436730385225
19659,201,2784,58,127,0.6587044771493343,0.025622481480240822,0.2094849372416487
20934,224,2749,93,104,0.6601120711676772,0.003168360562995076,0.2662060978600356
24423,210,2783,59,118,0.6770628110977974,0.0022294376976788044,0.2780825939126297
26212,191,2784,58,137,0.6361351964807055,0.02020551823079586,0.32236479032767545
27912,230,2748,94,98,0.671783320922403,0.0526403971016407,0.3180934341415594
31401,190,2793,49,138,0.6483346184125356,0.003355886321514845,0.3737619508140159
32765,182,2806,36,146,0.652575537196315,0.12785163521766663,0.3495908020123725
34890,216,2755,87,112,0.6504607806638825,0.0003062402829527855,0.4789954275019724
38379,218,2773,69,110,0.6796836333597862,0.0002893037162721157,0.3458746309271542
39318,218,2769,73,110,0.6739802237798446,2.194138526916504,0.34055051095512834
41868,224,2754,88,104,0.6665969343719309,0.0009547366062179208,0.4330203526833269
45357,201,2780,62,127,0.6525715763677935,0.0010943292872980237,0.45288689286987693
45871,191,2792,50,137,0.6489584101879404,0.00040496644214726985,0.42718760706843717
48846,233,2744,98,95,0.6731685993399789,0.00024317100178450346,0.44999316691191826
52335,208,2769,73,120,0.6520099257083123,1.61825300892815e-05,0.5313918090374931
52424,214,2765,77,114,0.6596318405412119,4.907321635982953e-05,0.47925252632723975
55824,219,2761,81,109,0.6650768508838345,0.0001003377401502803,0.47974517933521305
58977,187,2790,52,141,0.6365660212139755,5.296692324918695e-05,0.503741075750248
59313,218,2760,82,110,0.6615384362063229,0.9131503701210022,0.5477889452564771
62802,175,2796,46,153,0.6187291269629963,1.3247044989839196e-05,0.6227204231153926
65530,220,2757,85,108,0.6618734293310082,3.186784670106135e-05,0.5366421907610284
66291,229,2746,96,99,0.6670990819662913,6.49213616270572e-05,0.5193288841734143
69780,185,2795,47,143,0.6402545539487308,2.5227258447557688e-05,0.5457194522182878
72083,193,2791,51,135,0.651852497187226,1.7881231542560272e-05,0.5444006697837513
73269,217,2763,79,111,0.6634432208173253,4.18411691498477e-05,0.525291335103779
76758,207,2777,65,121,0.6614249032402668,1.788115332601592e-05,0.5589721747204501
78636,208,2775,67,120,0.6606855085293084,1.2199009688629303e-05,0.5486531443883738
