global_step,tp,tn,fp,fn,mcc,train_loss,eval_loss
3489,217,2719,123,111,0.6085828824153874,0.16623307764530182,0.16594791555336164
6553,89,2832,10,239,0.46896347898768936,0.6682741045951843,0.191769180072736
6978,257,2705,137,71,0.6788503543012786,0.3611093759536743,0.19152712504299838
10467,207,2790,52,121,0.6813921822864003,0.5409277081489563,0.16918278979198387
13106,216,2785,57,112,0.6931717909735144,0.136018767952919,0.2258923127326495
13956,261,2723,119,67,0.7068799047145292,0.005340565461665392,0.27174502456532434
17445,200,2764,78,128,0.6270210767331607,0.6104391813278198,0.3274940622669655
19659,184,2809,33,144,0.6625941832907898,9.063468314707279e-05,0.2657986163625817
20934,212,2783,59,116,0.6814344061832571,0.0002646425855346024,0.370168250008825
24423,218,2780,62,110,0.6899369501271679,0.0006036435370333493,0.33083057664404786
26212,216,2777,65,112,0.6811622616297689,3.985481089330278e-05,0.3125041033464353
27912,206,2795,47,122,0.6872659855038432,0.0018366837175562978,0.34830450672746543
31401,217,2769,73,111,0.6718031169066788,0.0013248840114101768,0.37542526392026415
32765,231,2764,78,97,0.6950015780307068,0.00011327569518471137,0.34032709536655664
34890,251,2736,106,77,0.7013410877098035,0.00016196357319131494,0.4248781160473547
38379,213,2785,57,115,0.6866718364012371,0.00012522365432232618,0.37856081847467044
39318,221,2774,68,107,0.6876128559398147,3.913948967237957e-05,0.41623731557687993
41868,226,2774,68,102,0.6983388751043939,0.0006231006700545549,0.38163453376715456
45357,212,2782,60,116,0.6799153185262556,5.904986392124556e-05,0.36720049283194706
45871,208,2785,57,120,0.6757483735350119,2.300712549185846e-05,0.3691745284876393
48846,218,2776,66,110,0.6840346037751294,2.7447535103419796e-05,0.4249258381537894
52335,213,2789,53,115,0.6928850254890898,9.19751837500371e-05,0.4085384795263289
52424,208,2794,48,120,0.6900016103820082,1.5218934095173609e-05,0.4264155407860997
55824,224,2768,74,104,0.6855521298483163,0.0006543946801684797,0.4765774138161574
58977,220,2777,65,108,0.6898189409035559,9.043339377967641e-05,0.4550276043913414
59313,213,2784,58,115,0.6851386669379161,4.615964280674234e-05,0.47692879349810946
62802,211,2787,55,117,0.6854136394784278,0.0006268092547543347,0.4674748555156752
65530,197,2792,50,131,0.6624710878351789,1.1563234693312552e-05,0.49712148991389077
66291,229,2779,63,99,0.7119687276049561,5.922570562688634e-05,0.4554208548065743
69780,201,2793,49,127,0.6730008320891041,3.988820390077308e-05,0.5159517474477535
72083,198,2797,45,130,0.6729491207923262,9.099600902118254e-06,0.5245880738150109
73269,226,2776,66,102,0.7012240166303005,8.157407864928246e-05,0.489392158561654
76758,222,2780,62,106,0.6985411144354127,2.4541539460187778e-05,0.5008119388730458
78636,221,2780,62,107,0.6963964375174535,8.702239938429557e-06,0.5050620304170733
