global_step,tp,tn,fp,fn,mcc,train_loss,eval_loss
3489,214,2708,134,114,0.5897170803396753,0.3083323836326599,0.17768527518525914
6553,141,2816,26,187,0.5736091692334886,0.8529104590415955,0.18552370409285346
6978,268,2680,162,60,0.6760730841135403,0.12081602215766907,0.18431871682912773
10467,204,2781,61,124,0.6607800111277309,0.6212154030799866,0.16707844673424269
13106,233,2750,92,95,0.6807570936229729,0.04759658873081207,0.24345127197354327
13956,260,2724,118,68,0.7059589762895533,0.003891778877004981,0.30859791493305455
17445,198,2780,62,130,0.6458349440977742,0.5824288129806519,0.3043437657944661
19659,179,2798,44,149,0.6315196258000124,7.939023635117337e-05,0.3008764584137726
20934,217,2773,69,111,0.6775116863325296,0.0009470941149629653,0.29681980442957306
24423,201,2783,59,127,0.657158905745272,0.0017270623939111829,0.3304360041899235
26212,202,2783,59,126,0.6593896805598786,4.9192458391189575e-05,0.30661081469369666
27912,203,2780,62,125,0.6570379205259107,0.005630790255963802,0.3213678595414007
31401,206,2780,62,122,0.6637011097883656,0.0023179638665169477,0.354671305091565
32765,207,2780,62,121,0.6659126394284755,3.67554857803043e-05,0.33422726466893843
34890,240,2716,126,88,0.6551058300945579,0.0001962592068593949,0.45459301083617043
38379,212,2779,63,116,0.6754045545763806,0.00010875723819481209,0.462851186544574
39318,215,2779,63,113,0.6819473357208504,9.801937267184258e-05,0.40248675269096235
41868,214,2775,67,114,0.6738741776494047,0.0001212579954881221,0.4374797375784251
45357,200,2782,60,128,0.6533842518627727,2.597236743895337e-05,0.39924903756452684
45871,209,2783,59,119,0.6748701397823622,3.9775375626049936e-05,0.37855340230799683
48846,231,2766,76,97,0.697742894795089,1.7940832549356855e-05,0.46226568483794944
52335,217,2778,64,111,0.6848063036199509,3.7800517020514235e-05,0.48305952424390475
52424,227,2770,72,101,0.694788404607682,7.828046364011243e-06,0.49405277650661933
55824,235,2748,94,93,0.6824688203576409,0.00012977836013305932,0.48610615153674597
58977,206,2780,62,122,0.6637011097883656,0.00019910892297048122,0.5021429495365682
59313,220,2766,76,108,0.6741225093606491,2.1278596250340343e-05,0.5403187047435866
62802,224,2774,68,104,0.6940608759805301,0.0001259880664292723,0.4897438210821584
65530,211,2786,56,117,0.6838608362806062,1.1444026313256472e-05,0.521983438339405
66291,233,2756,86,95,0.688543334827969,4.4955118937650695e-05,0.53965798775873
69780,219,2769,73,109,0.6761530243561041,1.6122876331792213e-05,0.5342631205817671
72083,213,2775,67,115,0.6716873912681252,8.6625050244038e-06,0.5534862506810827
73269,238,2759,83,90,0.7030918765200536,4.389677633298561e-05,0.5384596853173184
76758,221,2775,67,107,0.68905897289481,1.3202300578996073e-05,0.5538844371791994
78636,222,2776,66,106,0.6926628259239445,7.748573807475623e-06,0.5573654029906786
